Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GPN,GPN,GPN,GPN,GPN,GPN
Date,,,,,,
2001-01-16,3.4476749897003174,3.75,3.75,3.75,3.75,3200
2001-01-17,3.4476749897003174,3.75,3.75,3.75,3.75,122800
2001-01-18,3.792442798614502,4.125,4.125,3.875,3.875,167200
2001-01-19,3.9360978603363037,4.28125,4.28125,4.1875,4.1875,59600
2001-01-22,4.194672107696533,4.5625,4.625,4.25,4.25,146800
2001-01-23,4.309597492218018,4.6875,4.78125,4.5,4.5,76000
2001-01-24,4.194672107696533,4.5625,4.625,4.5625,4.625,560000
2001-01-25,4.309597492218018,4.6875,4.6875,4.625,4.65625,143200
2001-01-26,4.252133846282959,4.625,4.640625,4.625,4.625,82000
2001-01-29,4.298103332519531,4.675000190734863,4.6875,4.599999904632568,4.630000114440918,262000
2001-01-30,4.275116920471191,4.650000095367432,4.675000190734863,4.587500095367432,4.675000190734863,339200
2001-01-31,4.309597492218018,4.6875,4.762499809265137,4.675000190734863,4.675000190734863,326000
2001-02-01,4.803761005401611,5.224999904632568,5.300000190734863,4.690000057220459,4.75,2556800
2001-02-02,4.787670135498047,5.207499980926514,5.25,5.150000095367432,5.1875,795600
2001-02-05,4.59000301361084,4.992499828338623,5.362500190734863,4.980000019073486,5.212500095367432,644800
2001-02-06,4.53944206237793,4.9375,5.005000114440918,4.9375,4.974999904632568,1338800
2001-02-07,4.59689998626709,5.0,5.0,4.912499904632568,4.925000190734863,1350400
2001-02-08,4.481976509094238,4.875,5.039999961853027,4.875,5.0,578800
2001-02-09,4.53944206237793,4.9375,4.9375,4.875,4.875,441600
2001-02-12,4.436007976531982,4.824999809265137,4.9375,4.824999809265137,4.9375,327200
2001-02-13,4.424515247344971,4.8125,4.885000228881836,4.8125,4.824999809265137,648800
2001-02-14,4.385443210601807,4.769999980926514,4.8125,4.767499923706055,4.8125,135600
2001-02-15,4.206165790557861,4.574999809265137,4.787499904632568,4.574999809265137,4.775000095367432,454400
2001-02-16,4.153302192687988,4.517499923706055,4.525000095367432,4.349999904632568,4.525000095367432,427200
2001-02-20,4.157897472381592,4.522500038146973,4.537499904632568,4.452499866485596,4.517499923706055,1000400
2001-02-21,4.15559720993042,4.519999980926514,4.522500038146973,4.474999904632568,4.522500038146973,443600
2001-02-22,4.144106864929199,4.507500171661377,4.534999847412109,4.474999904632568,4.519999980926514,623600
2001-02-23,4.240642070770264,4.612500190734863,4.675000190734863,4.5,4.525000095367432,1222800
2001-02-26,4.367053508758545,4.75,4.78000020980835,4.625,4.625,1182400
2001-02-27,4.344069957733154,4.724999904632568,4.75,4.724999904632568,4.75,690000
2001-02-28,4.367053508758545,4.75,4.75,4.712500095367432,4.724999904632568,326000
2001-03-01,4.298103332519531,4.675000190734863,4.724999904632568,4.675000190734863,4.724999904632568,155200
2001-03-02,4.311893939971924,4.690000057220459,4.702499866485596,4.675000190734863,4.6875,836800
2001-03-05,4.369353771209717,4.752500057220459,4.762499809265137,4.6875,4.6875,402800
2001-03-06,4.321087837219238,4.699999809265137,4.775000095367432,4.699999809265137,4.752500057220459,610000
2001-03-07,4.364755630493164,4.747499942779541,4.747499942779541,4.699999809265137,4.699999809265137,89600
2001-03-08,4.321087837219238,4.699999809265137,4.744999885559082,4.699999809265137,4.744999885559082,211600
2001-03-09,4.316488265991211,4.695000171661377,4.702499866485596,4.675000190734863,4.699999809265137,269600
2001-03-12,4.298103332519531,4.675000190734863,4.724999904632568,4.662499904632568,4.695000171661377,106400
2001-03-13,4.240642070770264,4.612500190734863,4.712500095367432,4.612500190734863,4.712500095367432,671600
2001-03-14,4.114225387573242,4.474999904632568,4.637499809265137,4.46750020980835,4.612500190734863,455600
2001-03-15,4.006196975708008,4.357500076293945,4.449999809265137,4.287499904632568,4.449999809265137,1160400
2001-03-16,3.9878108501434326,4.337500095367432,4.449999809265137,4.337500095367432,4.387499809265137,402800
2001-03-19,3.9533324241638184,4.300000190734863,4.4375,4.287499904632568,4.287499904632568,1173600
2001-03-20,3.9303503036499023,4.275000095367432,4.389999866485596,4.25,4.3125,222000
2001-03-21,3.826918125152588,4.162499904632568,4.300000190734863,4.0625,4.275000095367432,135200
2001-03-22,4.102734088897705,4.462500095367432,4.462500095367432,4.25,4.3125,2125600
2001-03-23,4.206165790557861,4.574999809265137,4.574999809265137,4.474999904632568,4.474999904632568,757600
2001-03-26,4.252133846282959,4.625,4.625,4.570000171661377,4.612500190734863,207600
2001-03-27,4.21765661239624,4.587500095367432,4.612500190734863,4.53249979019165,4.599999904632568,435200
