Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ROP,ROP,ROP,ROP,ROP,ROP
Date,,,,,,
2000-01-03,15.065424919128418,17.78125,18.96875,17.4375,18.90625,88000
2000-01-04,14.377022743225098,16.96875,17.6875,16.75,17.5,153200
2000-01-05,14.191682815551758,16.75,16.96875,16.34375,16.96875,262200
2000-01-06,14.191682815551758,16.75,16.84375,16.5625,16.75,211800
2000-01-07,14.40349292755127,17.0,17.0,16.625,16.6875,181600
2000-01-10,14.535876274108887,17.15625,17.1875,16.875,17.125,107000
2000-01-11,14.350550651550293,16.9375,17.125,16.78125,17.125,79000
2000-01-12,14.459851264953613,17.03125,17.03125,16.6875,17.0,101600
2000-01-13,14.32719612121582,16.875,17.03125,16.75,17.03125,107400
2000-01-14,14.300665855407715,16.84375,16.96875,16.75,16.875,111400
2000-01-18,14.194538116455078,16.71875,17.0,16.71875,16.90625,73200
2000-01-19,14.194538116455078,16.71875,16.8125,16.65625,16.71875,51800
2000-01-20,14.672111511230469,17.28125,17.28125,16.5625,16.65625,101000
2000-01-21,15.49459457397461,18.25,18.28125,17.28125,17.28125,197400
2000-01-24,15.361934661865234,18.09375,18.625,18.03125,18.25,301600
2000-01-25,14.778240203857422,17.40625,18.125,17.375,18.0,315200
2000-01-26,15.176207542419434,17.875,18.21875,17.46875,17.46875,118600
2000-01-27,14.672111511230469,17.28125,17.78125,17.28125,17.75,133600
2000-01-28,14.698646545410156,17.3125,17.5,16.875,17.21875,86400
2000-01-31,14.24759578704834,16.78125,17.21875,16.375,17.21875,118200
2000-02-01,14.194538116455078,16.71875,16.78125,16.40625,16.78125,191800
2000-02-02,14.486384391784668,17.0625,17.0625,16.6875,16.8125,67800
2000-02-03,15.176207542419434,17.875,17.875,17.0625,17.125,145400
2000-02-04,15.308868408203125,18.03125,18.6875,18.0,18.0,195000
2000-02-07,15.229276657104492,17.9375,18.21875,17.8125,17.96875,64800
2000-02-08,15.043561935424805,17.71875,18.15625,17.5625,17.9375,109000
2000-02-09,14.168002128601074,16.6875,17.84375,16.125,17.84375,541200
2000-02-10,14.061871528625488,16.5625,16.75,16.1875,16.6875,489000
2000-02-11,13.265925407409668,15.625,16.59375,15.375,16.5625,239200
2000-02-14,14.061871528625488,16.5625,16.65625,15.09375,15.625,365600
2000-02-15,14.114935874938965,16.625,16.625,16.5,16.625,49400
2000-02-16,14.141477584838867,16.65625,16.6875,16.5625,16.625,125400
2000-02-17,14.061871528625488,16.5625,16.6875,16.3125,16.6875,104600
2000-02-18,13.133261680603027,15.46875,16.4375,15.46875,16.4375,109800
2000-02-22,13.133261680603027,15.46875,15.46875,14.9375,15.46875,192800
2000-02-23,13.451640129089355,15.84375,15.84375,15.46875,15.46875,100400
2000-02-24,13.053667068481445,15.375,15.90625,15.3125,15.90625,89400
2000-02-25,12.257715225219727,14.4375,15.3125,14.375,15.3125,317400
2000-02-28,11.647480010986328,13.71875,14.4375,13.34375,14.4375,504600
2000-02-29,11.567882537841797,13.625,13.8125,13.625,13.65625,265400
2000-03-01,11.302566528320312,13.3125,13.5,12.90625,13.5,319000
2000-03-02,13.159796714782715,15.5,15.5,13.25,13.40625,678600
2000-03-03,14.459851264953613,17.03125,17.34375,15.40625,15.40625,493600
2000-03-06,13.716962814331055,16.15625,16.90625,15.9375,16.90625,207200
2000-03-07,13.345513343811035,15.71875,16.09375,15.625,16.09375,170600
2000-03-08,13.053667068481445,15.375,15.65625,15.0,15.65625,281600
2000-03-09,12.921008110046387,15.21875,15.375,15.0625,15.375,96600
2000-03-10,13.504704475402832,15.90625,16.0,15.21875,15.28125,53000
2000-03-13,13.982280731201172,16.46875,16.75,15.6875,15.875,232800
2000-03-14,13.478178024291992,15.875,16.40625,15.71875,16.375,101000
2000-03-15,13.663901329040527,16.09375,16.09375,15.5,15.78125,109400
2000-03-16,14.857830047607422,17.5,17.5,16.09375,16.09375,109600
2000-03-17,14.486384391784668,17.0625,17.53125,16.90625,17.5,127800
2000-03-20,14.32719612121582,16.875,17.03125,16.6875,16.9375,77400
2000-03-21,14.353727340698242,16.90625,16.96875,16.34375,16.78125,175000
2000-03-22,14.194538116455078,16.71875,16.96875,16.625,16.96875,174200
2000-03-23,14.32719612121582,16.875,17.0625,16.625,16.71875,139200
2000-03-24,14.353727340698242,16.90625,17.0625,16.875,16.9375,86800
2000-03-27,14.221070289611816,16.75,16.90625,16.75,16.90625,67200
2000-03-28,14.486384391784668,17.0625,17.375,16.671875,16.75,201800
2000-03-29,14.061871528625488,16.5625,17.0,16.3125,16.96875,212800
2000-03-30,14.088408470153809,16.59375,16.9375,16.0,16.5625,121200
2000-03-31,14.406792640686035,16.96875,17.0625,16.5,16.59375,241200
2000-04-03,13.849623680114746,16.3125,17.0,16.21875,17.0,130200
2000-04-04,13.292449951171875,15.65625,16.3125,15.5625,16.3125,152400
2000-04-05,13.106729507446289,15.4375,15.65625,15.0,15.65625,304400
2000-04-06,13.00059986114502,15.3125,15.515625,15.0625,15.5,217400
2000-04-07,12.814884185791016,15.09375,15.4375,15.03125,15.375,52800
2000-04-10,12.73528003692627,15.0,15.25,15.0,15.1875,69600
2000-04-11,13.159796714782715,15.5,15.78125,14.96875,15.0,74200
2000-04-12,12.764103889465332,15.0,15.46875,15.0,15.4375,126200
2000-04-13,12.87047290802002,15.125,15.15625,14.84375,15.0,199600
2000-04-14,12.764103889465332,15.0,15.09375,14.8125,15.0625,213000
2000-04-17,13.003434181213379,15.28125,15.28125,14.78125,15.0,129400
2000-04-18,13.32253360748291,15.65625,16.0,15.09375,15.21875,196400
2000-04-19,13.402308464050293,15.75,15.75,15.4375,15.5625,90400
2000-04-20,13.561863899230957,15.9375,15.96875,15.8125,15.875,72400
2000-04-24,12.790698051452637,15.03125,15.875,15.03125,15.875,206400
2000-04-25,13.083209037780762,15.375,15.375,15.03125,15.03125,234000
2000-04-26,12.97684097290039,15.25,15.625,15.09375,15.3125,102400
2000-04-27,13.269355773925781,15.59375,15.875,15.25,15.3125,75000
2000-04-28,13.402308464050293,15.75,15.75,15.5625,15.71875,26200
2000-05-01,14.226663589477539,16.71875,16.78125,15.59375,15.75,223800
2000-05-02,14.067111015319824,16.53125,16.625,16.375,16.59375,110000
2000-05-03,14.040518760681152,16.5,16.625,16.46875,16.46875,141800
2000-05-04,14.013925552368164,16.46875,16.5,16.25,16.5,65200
2000-05-05,14.226663589477539,16.71875,16.75,16.46875,16.46875,86400
2000-05-08,14.013925552368164,16.46875,16.84375,16.46875,16.65625,234800
2000-05-09,13.801190376281738,16.21875,16.5,16.125,16.46875,243400
2000-05-10,14.040518760681152,16.5,16.5,16.1875,16.21875,90400
2000-05-11,14.465982437133789,17.0,17.0,16.5,16.5,268600
2000-05-12,14.306442260742188,16.8125,17.0625,16.71875,17.0,62200
2000-05-15,14.333027839660645,16.84375,17.0,16.8125,16.8125,110200
2000-05-16,14.465982437133789,17.0,17.03125,16.8125,16.8125,60000
2000-05-17,14.864864349365234,17.46875,17.5,16.90625,17.0,77600
2000-05-18,14.572362899780273,17.125,17.34375,16.875,17.34375,81600
2000-05-19,14.625539779663086,17.1875,17.46875,16.75,17.0,211200
2000-05-22,14.040518760681152,16.5,17.25,16.34375,17.21875,128200
2000-05-23,13.455499649047852,15.8125,16.3125,15.6875,16.3125,205000
2000-05-24,14.146881103515625,16.625,16.625,15.53125,15.875,111400
2000-05-25,13.668230056762695,16.0625,16.6875,15.90625,16.625,129800
2000-05-26,13.668230056762695,16.0625,16.1875,15.6875,16.0625,56200
2000-05-30,14.253254890441895,16.75,16.75,15.9375,15.9375,100200
2000-05-31,14.99782657623291,17.625,17.625,16.84375,16.84375,187000
2000-06-01,14.864864349365234,17.46875,18.0,17.375,17.75,286600
2000-06-02,14.864864349365234,17.46875,18.0,17.34375,17.46875,190600
2000-06-05,14.7850923538208,17.375,17.625,17.375,17.5,84400
2000-06-06,14.864864349365234,17.46875,17.5,17.375,17.375,111600
2000-06-07,14.971229553222656,17.59375,17.59375,17.375,17.40625,105400
2000-06-08,14.99782657623291,17.625,17.625,17.46875,17.53125,96400
2000-06-09,14.811685562133789,17.40625,17.5625,17.375,17.5625,66400
2000-06-12,14.944648742675781,17.5625,17.71875,17.40625,17.5,107800
2000-06-13,15.077609062194824,17.71875,17.96875,17.5625,17.5625,117400
2000-06-14,15.157378196716309,17.8125,17.875,17.625,17.65625,78200
2000-06-15,15.31692886352539,18.0,18.09375,17.71875,17.75,106800
2000-06-16,15.26374340057373,17.9375,18.0625,17.9375,18.03125,378200
2000-06-19,15.1041898727417,17.75,17.84375,17.75,17.8125,69000
2000-06-20,14.7850923538208,17.375,17.78125,17.28125,17.78125,177800
2000-06-21,13.827779769897461,16.25,17.375,16.25,17.375,186400
2000-06-22,14.545763969421387,17.09375,17.3125,16.1875,16.3125,255400
2000-06-23,14.067111015319824,16.53125,17.1875,16.5,17.1875,131200
2000-06-26,14.040518760681152,16.5,16.5,16.28125,16.4375,108800
2000-06-27,13.934149742126465,16.375,16.59375,16.375,16.5,311800
2000-06-28,14.120294570922852,16.59375,16.59375,16.015625,16.375,201400
2000-06-29,13.934149742126465,16.375,16.5,16.375,16.5,110400
2000-06-30,10.90267562866211,12.8125,13.625,12.5625,13.5,3126400
2000-07-03,11.06222915649414,13.0,13.0625,12.6875,12.8125,357400
2000-07-05,10.90267562866211,12.8125,13.0,12.78125,13.0,248400
2000-07-06,10.822897911071777,12.71875,12.90625,12.375,12.8125,493200
2000-07-07,10.636756896972656,12.5,12.71875,12.375,12.71875,161400
2000-07-10,11.035630226135254,12.96875,12.96875,12.5,12.5625,441800
2000-07-11,11.700432777404785,13.75,13.875,12.96875,12.96875,574200
2000-07-12,11.806803703308105,13.875,13.875,13.6875,13.75,220200
2000-07-13,12.476476669311523,14.625,14.84375,13.78125,13.8125,1088400
2000-07-14,12.583115577697754,14.75,14.8125,14.375,14.375,242200
2000-07-17,12.84970474243164,15.0625,15.25,14.78125,14.78125,254400
2000-07-18,12.103251457214355,14.1875,15.0,14.0625,15.0,378400
2000-07-19,11.650043487548828,13.65625,14.1875,13.65625,14.1875,285200
2000-07-20,11.916633605957031,13.96875,14.0,13.4375,13.53125,476200
2000-07-21,11.863321304321289,13.90625,14.0,13.8125,13.90625,175200
2000-07-24,11.863321304321289,13.90625,14.0,13.71875,13.9375,130600
2000-07-25,11.436772346496582,13.40625,14.0625,13.28125,14.0,216000
2000-07-26,11.223494529724121,13.15625,13.40625,13.125,13.40625,111400
2000-07-27,11.036882400512695,12.9375,13.15625,12.8125,13.15625,254800
2000-07-28,10.930246353149414,12.8125,12.84375,12.0,12.84375,307400
2000-07-31,11.783337593078613,13.8125,14.03125,13.25,13.25,277400
2000-08-01,11.703361511230469,13.71875,13.875,13.71875,13.875,52800
2000-08-02,11.75667953491211,13.78125,13.9375,13.6875,13.75,68400
2000-08-03,11.410111427307129,13.375,13.8125,13.3125,13.78125,176800
2000-08-04,11.490090370178223,13.46875,13.46875,13.09375,13.375,444800
2000-08-07,11.490090370178223,13.46875,13.46875,13.3125,13.46875,39000
2000-08-08,11.436772346496582,13.40625,13.46875,13.375,13.46875,60600
2000-08-09,11.490090370178223,13.46875,13.5,13.40625,13.4375,228200
2000-08-10,11.596728324890137,13.59375,13.65625,13.3125,13.46875,227400
2000-08-11,12.023276329040527,14.09375,14.09375,13.5,13.71875,123200
2000-08-14,12.103251457214355,14.1875,14.25,13.90625,14.0,98600
2000-08-15,12.156571388244629,14.25,14.3125,14.0,14.125,148800
2000-08-16,12.236544609069824,14.34375,14.34375,14.1875,14.25,127200
2000-08-17,12.36983871459961,14.5,14.5,14.34375,14.46875,107800
2000-08-18,12.476476669311523,14.625,14.6875,14.46875,14.5,53800
2000-08-21,12.423157691955566,14.5625,14.75,14.53125,14.53125,95200
2000-08-22,12.423157691955566,14.5625,14.59375,14.46875,14.53125,173600
2000-08-23,12.50313663482666,14.65625,14.75,14.53125,14.5625,80400
2000-08-24,12.583115577697754,14.75,14.75,14.3125,14.6875,67600
2000-08-25,13.329573631286621,15.625,15.8125,15.0625,15.0625,266000
2000-08-28,13.462865829467773,15.78125,15.78125,15.53125,15.65625,351400
2000-08-29,13.702795028686523,16.0625,16.0625,15.78125,15.8125,93800
2000-08-30,13.516179084777832,15.84375,16.0,15.6875,16.0,105600
2000-08-31,13.80943775177002,16.1875,16.1875,15.71875,15.84375,144600
2000-09-01,13.702795028686523,16.0625,16.125,15.90625,16.125,57400
2000-09-05,13.756117820739746,16.125,16.5,16.0625,16.1875,171800
2000-09-06,13.756117820739746,16.125,16.25,16.03125,16.0625,106400
2000-09-07,13.862751007080078,16.25,16.375,16.0625,16.0625,99800
2000-09-08,13.862751007080078,16.25,16.375,16.21875,16.25,93000
2000-09-11,13.889410972595215,16.28125,16.46875,16.15625,16.25,129600
2000-09-12,14.15600299835205,16.59375,16.6875,16.28125,16.28125,141000
2000-09-13,14.5025634765625,17.0,17.15625,16.625,16.6875,162600
2000-09-14,14.662528038024902,17.1875,17.3125,16.875,16.875,139200
2000-09-15,14.849143028259277,17.40625,17.46875,17.0625,17.0625,206800
2000-09-18,14.742504119873047,17.28125,17.875,17.25,17.5,156400
2000-09-19,14.315954208374023,16.78125,17.53125,16.6875,17.3125,210800
2000-09-20,14.262640953063965,16.71875,16.90625,16.6875,16.78125,78600
2000-09-21,13.942726135253906,16.34375,16.71875,16.3125,16.71875,58600
2000-09-22,13.756117820739746,16.125,16.28125,15.59375,16.28125,110600
2000-09-25,13.889410972595215,16.28125,16.75,16.0,16.0,107200
2000-09-26,13.996047019958496,16.40625,16.8125,16.15625,16.15625,117400
2000-09-27,13.062973976135254,15.3125,16.3125,15.15625,16.3125,198400
2000-09-28,13.72945785522461,16.09375,16.28125,15.3125,15.34375,332800
