Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ROK,ROK,ROK,ROK,ROK,ROK
Date,,,,,,
2000-01-03,10.635499000549316,49.375,49.75,47.6875,48.375,416200
2000-01-04,10.245085716247559,47.5625,50.5,47.4375,49.4375,422900
2000-01-05,10.298938751220703,47.8125,49.375,47.75,48.9375,247500
2000-01-06,10.096993446350098,46.875,47.3125,46.3125,47.0,397300
2000-01-07,10.406643867492676,48.3125,49.0,47.0,48.0,286100
2000-01-10,10.406643867492676,48.3125,49.6875,48.3125,48.875,306700
2000-01-11,10.204695701599121,47.375,48.1875,46.75,47.5625,302700
2000-01-12,10.285473823547363,47.75,48.0,46.75,47.1875,281800
2000-01-13,10.541267395019531,48.9375,49.1875,46.625,47.125,497400
2000-01-14,10.379711151123047,48.1875,48.6875,47.3125,48.6875,325700
2000-01-18,10.931680679321289,50.75,50.8125,49.375,50.0,795200
2000-01-19,11.187471389770508,51.9375,54.0,51.5,52.0,1444400
2000-01-20,10.554727554321289,49.0,52.625,48.625,52.5,588000
2000-01-21,10.689348220825195,49.625,51.0,49.375,50.9375,597800
2000-01-24,10.096993446350098,46.875,49.5,46.75,49.125,660700
2000-01-25,10.339325904846191,48.0,49.4375,47.75,48.0,1033200
2000-01-26,10.39317512512207,48.25,48.875,47.875,48.375,645300
2000-01-27,10.50087833404541,48.75,49.75,48.25,48.25,567900
2000-01-28,10.447025299072266,48.5,49.9375,48.5,49.0,703900
2000-01-31,10.648969650268555,49.4375,49.6875,47.5625,48.5,571300
2000-02-01,10.648969650268555,49.4375,49.75,48.125,49.4375,338500
2000-02-02,10.447025299072266,48.5,49.875,48.375,49.3125,387800
2000-02-03,10.447025299072266,48.5,49.0,48.0625,49.0,540900
2000-02-04,10.27200984954834,47.6875,49.0,47.5,48.6875,739800
2000-02-07,9.975839614868164,46.3125,47.875,46.125,47.6875,408400
2000-02-08,9.908516883850098,46.0,47.375,45.625,47.0,501300
