Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ESS,ESS,ESS,ESS,ESS,ESS
Date,,,,,,
2000-01-03,12.61825942993164,33.3125,33.875,33.1875,33.875,12200
2000-01-04,12.476212501525879,32.9375,33.375,32.625,33.1875,62700
2000-01-05,12.428863525390625,32.8125,33.0,32.625,32.625,96900
2000-01-06,12.547233581542969,33.125,33.25,32.5625,32.8125,72500
2000-01-07,12.973362922668457,34.25,34.5,33.125,33.125,39400
2000-01-10,12.90234375,34.0625,34.375,33.75,34.375,23300
2000-01-11,12.760306358337402,33.6875,34.1875,33.6875,33.8125,46400
2000-01-12,12.736632347106934,33.625,33.9375,33.625,33.9375,43500
2000-01-13,12.87866497039795,34.0,34.0,33.5625,33.625,14300
2000-01-14,12.831319808959961,33.875,34.0625,33.6875,34.0625,10100
2000-01-18,12.783973693847656,33.75,33.8125,33.375,33.8125,27600
2000-01-19,12.92601490020752,34.125,34.25,34.0,34.0,57900
2000-01-20,12.997045516967773,34.3125,34.3125,34.125,34.1875,18400
2000-01-21,12.90234375,34.0625,34.1875,34.0,34.125,12700
2000-01-24,12.87866497039795,34.0,34.125,33.75,33.9375,36900
2000-01-25,12.949689865112305,34.1875,34.25,34.0,34.0,26000
2000-01-26,12.92601490020752,34.125,34.25,34.0625,34.0625,11200
2000-01-27,13.020719528198242,34.375,34.5,33.875,34.125,19800
2000-01-28,12.855000495910645,33.9375,34.5,33.9375,34.25,19300
2000-01-31,12.87866497039795,34.0,34.0,33.875,34.0,66300
2000-02-01,13.115411758422852,34.625,34.625,34.0,34.0,30500
2000-02-02,13.091740608215332,34.5625,34.75,34.5,34.625,30100
2000-02-03,13.210111618041992,34.875,35.0,34.5625,34.5625,21000
2000-02-04,13.281131744384766,35.0625,35.125,34.6875,34.8125,16000
2000-02-07,13.186433792114258,34.8125,35.125,34.75,35.125,19800
2000-02-08,13.020719528198242,34.375,34.8125,34.375,34.8125,49800
2000-02-09,12.997045516967773,34.3125,34.5,33.8125,34.25,20300
2000-02-10,13.020719528198242,34.375,34.375,34.125,34.375,14300
2000-02-11,12.997045516967773,34.3125,34.375,34.25,34.25,18200
2000-02-14,13.091740608215332,34.5625,34.5625,34.25,34.3125,44000
2000-02-15,13.044389724731445,34.4375,34.625,34.0625,34.625,32900
2000-02-16,12.973362922668457,34.25,34.375,33.875,34.375,18700
2000-02-17,13.020719528198242,34.375,34.375,34.125,34.375,25200
2000-02-18,13.044389724731445,34.4375,34.75,34.25,34.3125,32600
2000-02-22,13.233784675598145,34.9375,34.9375,34.375,34.4375,18300
